ShipID,MoldID,CutterID,FromCompanyID,ToCompanyID,FromCompany,ToCompany,ShipDate,EmployeeID,ShipNotes,DateEntry
123,3063,,2,9,,,2/6/2025,,,2/6/2025
124,3019,,2,9,,,2/7/2025,,返却,2/13/2025
126,5237,,2,7,,,2/13/2025,,テフロン加工,
127,5310,,2,4,,,2/12/2025,,成形,2/15/2025
128,373,,2,3,,,5/15/2024,,成形,
129,373,,3,2,,,2/25/2025,,テフロン加工,
130,373,,2,7,,,2/25/2025,,テフロン加工,
131,373,,7,2,,,2/28/2025,,テフロン加工完了,
132,1855,,2,917,,,3/12/2025,,返却,
133,1859,,2,917,,,3/12/2025,,返却,
134,2900,,2,917,,,3/12/2025,,返却,
135,1827,,2,917,,,3/12/2025,,返却,
136,4427,,1,917,,,3/12/2025,,返却,
137,4426,,1,917,,,3/12/2025,,返却,
138,5337,,2,7,,,3/13/2025,,テフロン加工,
139,5337,,7,2,,,3/18/2025,,テフロン加工済,
140,5327,,2,7,,,3/25/2025,,,
141,5328,,2,7,,,3/25/2025,,,
142,5327,,7,2,,,3/28/2025,,,
143,5328,,7,2,,,3/28/2025,,,
144,5322,,2,7,,,4/2/2025,,,
145,5325,,2,1,,,4/4/2025,,,
146,4566,,2,1,,,4/4/2025,,台湾機用金型移動,
147,5322,,7,2,,,4/7/2025,,,
148,5382,,2,5,,,4/10/2025,,寸法変更・再作成　R2,
149,5239,,2,7,,,4/10/2025,,,
150,3078,,2,1703,,,4/14/2025,,生産終了・返却,4/14/2025
151,5239,,7,2,,,4/15/2025,,,
152,1110,,2,273,,,4/21/2025,,返却,
153,5325,,2,1,,,4/23/2025,,,
155,1885,,2,1,,,4/24/2025,,,
156,3847,,2,1,,,4/24/2025,,,
157,2732,,2,1,,,4/28/2025,,,
158,5386,,2,3,,,5/17/2025,,坂田さん,
159,5400,,2,3,,,5/17/2025,,坂田さん,
161,5399,,2,1726,,,5/20/2025,,金型・抜型返却,
162,2218,,2,5,,,5/22/2025,,,
163,5412,,2,3,,,5/23/2025,,,
164,171,,2,802,,,5/26/2025,,返却,
165,3012,,2,1,,,5/27/2025,,,
166,5334,,2,3,,,5/31/2025,,坂田さん,
167,5402,,2,7,,,6/2/2025,,,
168,5402,,7,2,,,6/5/2025,,,
169,5344,,2,7,,,6/6/2025,,,
170,4657,,2,7,,,6/6/2025,,,
171,4628,,2,7,,,6/6/2025,,,
172,5424,,2,3,,,6/10/2025,,,
173,5425,,2,3,,,6/10/2025,,,
174,4628,,1726,2,,,6/11/2025,,,
175,4657,,1726,2,,,6/11/2025,,,
176,5344,,7,2,,,6/12/2025,,,
177,201,,2,781,,,6/13/2025,,返却,
179,5338,,2,7,,,6/13/2025,,テフロン加工,
180,5424,,3,2,,,6/14/2025,,写真撮影のため,
181,5425,,3,2,,,6/14/2025,,写真撮影のため,
182,5430,,2,3,,,6/14/2025,,成形の為,
183,5419,,2,7,,,6/18/2025,,,
184,5427,,2,7,,,6/17/2025,,,
185,5427,,1726,2,,,6/20/2025,,,
186,5439,,2,1,,,6/26/2025,,,
187,5438,,2,1,,,6/26/2025,,,
188,5440,,2,1,,,6/26/2025,,,
189,5441,,2,1,,,6/30/2025,,,
190,5446,,2,1,,,7/1/2025,,,
191,5445,,2,1,,,7/1/2025,,,
192,5438,,1,7,,,7/1/2025,,,
193,5439,,1,7,,,7/1/2025,,テフロン加工,
194,5454,,5,2,,,7/3/2025,,改造の為,
195,5454,,2,5,,,7/4/2025,,改造完了 R2,
197,5455,,5,2,,,7/3/2025,,金型改造の為　彫刻,
198,5455,,2,5,,,7/4/2025,,改造完了　R2,
199,5437,,2,7,,,7/10/2025,,,
200,5445,,1,2,,,7/9/2025,,改造,
201,5445,,2,1,,,7/11/2025,,引き取り,
202,5446,,1,2,,,7/9/2025,,改造,
203,5446,,2,1,,,7/11/2025,,成形・引き取り,
204,5451,,2,1,,,7/8/2025,,成形,
205,4660,,2,1,,,7/8/2025,,,
207,5442,,2,1,,,7/2/2025,,,
208,5443,,2,1,,,7/2/2025,,,
209,2947,,2,7,,,7/12/2025,,,
210,5288,,2,1,,,5/14/2025,,PP,
211,703,,2,1,,,6/9/2025,,金型・プラグ・抜き型,
212,1896,,2,1,,,6/9/2025,,改造ー＞成形,
213,1896,,2,1,,,7/8/2025,,プラグ調整済み,
214,5437,,1726,2,,,7/12/2025,,,
215,917,,2,1726,,,7/15/2025,,返却,
216,926,,2,1726,,,7/15/2025,,返却,
217,,323,2,1726,,,7/15/2025,,,
220,5456,,2,7,,,7/23/2025,,,
221,2947,,1726,2,,,7/16/2025,,日付不明,
223,5521,,2,4,,,7/24/2025,,改造完成,
224,5517,,2,1,,,7/25/2025,,成形,
225,,3036,2,1,1,,7/25/2025,,,
227,5456,,7,2,,,7/28/2025,,,
229,5547,,2,1181,,,9/3/2025,,,9/3/2025
230,5535,,2,1,,,9/3/2025,,,
231,4660,,2,1,,,9/9/2025,,金型改造完成,
232,1985,,2,7,,,9/17/2025,,テフロン再加工,
233,1985,,7,2,,,9/22/2025,,テフロン加工完成,
234,1985,,2,3,,,9/24/2025,,成形,
235,5559,,2,3,,,9/25/2025,,新規成形,9/25/2025
236,4461,,2,3,,,9/25/2025,,2025/09/25,
237,5566,,,3,,,9/25/2025,,2025/09/25,
238,5609,,4,2,,,10/3/2025,,改造R1　彫刻,10/3/2025
239,2860,,2,1,,,10/7/2025,,,
240,2861,,2,1,,,10/7/2025,,,
241,5416,,3,2,,,10/7/2025,,写真撮影,10/7/2025
243,2502,,2,,,,10/8/2025,,返却済　引き取り,10/8/2025
244,2495,,2,,,,10/8/2025,,返却済　引き取り,10/8/2025
245,5550,,7,2,,,10/3/2025,,テフロン加工,
246,5550,,2,7,,,10/8/2025,,テフロン加工済,
247,,,2,1,,,10/16/2025,,圧空ベース590ｘ350,10/16/2025
248,1090,,2,3,,,10/16/2025,,取引,
249,5416,,2,3,,,10/16/2025,,成形,10/16/2025
251,930,,2,,,,8/28/2025,,返却済,10/23/2025
252,2969,,2,2,,,8/28/2025,,返却済,10/23/2025
253,,2923,,,,,8/28/2025,,返却済,10/23/2025
254,5422,,2,3,,,10/24/2025,,,
255,5421,,2,3,,,10/24/2025,,成形,
256,5606,,2,7,,,10/24/2025,,,
257,5605,,2,7,,,10/24/2025,,,
258,5645,,2,4,,,11/5/2025,,,11/5/2025
259,5660,,2,4,,,11/13/2025,,改造完成,11/13/2025
260,5511,,2,1540,,,11/17/2025,,"SHIELD CAN(MTM-187)トレイとFENDER(MTM-185)トレイ金型/プラグ/抜き型を
梱包して、厚木の江口様あてに出荷手配をお願いします。",
261,5456,,2,1540,,,11/17/2025,,"SHIELD CAN(MTM-187)トレイとFENDER(MTM-185)トレイ金型/プラグ/抜き型を
梱包して、厚木の江口様あてに出荷手配をお願いします。",
262,5413,,2,1540,,,11/18/2025,,,
263,3020,,3,2,,,11/20/2025,,改造（２面から１面）,
264,5632,,2,7,,,11/21/2025,,,11/21/2025
265,5413,,2,7,,,7/23/2025,,,
266,5413,,7,2,,,7/28/2025,,,
267,5511,,2,7,,,11/21/2025,,,
269,5511,,7,2,,,11/25/2025,,,
270,5511,,2,1540,,,11/25/2025,,テフロン加工完了ー＞MTM,
271,5663,,2,3,,,11/26/2025,,新規成形用,11/26/2025
272,5632,,7,2,,,11/26/2025,,テフロン加工済,
273,5633,,7,2,,,11/26/2025,,テフロン加工済,
274,5667,,2,1,,,11/26/2025,,新規成形,
