JobID,JobName,JobCode,MoldDesignID,InstructionID,ProcessingItemID,ResponsiblePersonID,MachiningCustomerID,OutsourcingID,MoldID,JobType,JobStartDate,JobEndDate,JobQuantity,JobStatus,JobDescription,JobNote,IDMaKhuonThietKe,IDVatLieuNhua,YearPeriod,MonthPeriod,Approved,DeliveryDeadline,ReleasePeriod,BeginDate,DateEntry,PostProductionFeedback,AnhKhuonJob,NgayChupAnhKhuonJob,KhoiLuongKhuonJob,NoiGCkhuon,FormingLocation,MoldShippingDate,TeflonWaiting,InventoryCheckUponReProduction,DrawingChecUponReProduction,ToleranceX,ToleranceY,SeparateCutter,QuantitySentToTheOffice,NoiNhan,PriceQuote,UnitPrice,LoaiThungDong,BaoNilon,PocketTEST,ProductionCommunication,PlugAri,TrayWeight,IsSelected,JobFolderLink,Vt1,Split1,Split1Right,Vt2,Split2,Split2Right,Vt3,Split3,Split3Right,JobCodeAuto
11,12X356X460,12X356X460,1,,7,6,2,,4521,,1/13/2023,,1,,,,12X356X460,,2023,,TRUE,1/13/2023,新規,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,0,12X356X460,12X356X460,0,12X356X460,12X356X460,0,12X356X460,12X356X460,12X356X460
12,TE-2-020-5,TE20205,2539,,18,5,2,,2977,,2/22/2024,,1,,,,TE-2-020-5,,2024,0,TRUE,2/22/2024,5.追加工,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,2-020-5,2,2,020-5,4,020,5,TE20205
13,TE-2373028-2 R2,TE23730282R2,2610,,1,1,2,,4232,,,,1,,R1の彫刻改造,,TE-2373028-2 R2,,2024,0,TRUE,9/5/2024,2.新規,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,2373028-2 R2,8,2373028,2 R2,0,2 R2,2 R2,TE23730282 R2
14,TE-2373028-1 R1,TE23730281R1,2610,,1,1,2,,4232,,3/18/2024,,1,,新規製作,,Te-2373028-2 R2,,2024,3,TRUE,3/28/2024,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,149.8,1. 印刷,1. 要,なし,,FALSE,,FALSE,,3,TE,2373028-1 R1,8,2373028,1 R1,0,1 R1,1 R1,TE23730281 R1
15,TE-2423252-1,TE24232521,2618,,1,1,2,,2431,,6/27/2023,,1,,,,TE-2423252-1,,2023,6,TRUE,7/14/2023,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,49.7,1. 印刷,1. 要,,,FALSE,,FALSE,,3,TE,2423252-1,8,2423252,1,0,1,1,TE24232521
16,TE-2423252-1 R2,TE24232521R2,2622,,1,1,2,,4520,,1/10/2024,,1,,,,TE-2423252-1 R2 26P,,2024,1,TRUE,1/22/2024,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,49.7,1. 印刷,1. 要,なし,,FALSE,,FALSE,,3,TE,2423252-1 R2,8,2423252,1 R2,0,1 R2,1 R2,TE24232521 R2
17,TE-2423252-1 R3,TE24232521R3,2623,,1,1,2,,2819,,4/11/2024,,1,,,,TE-2423252-1 R3,,2024,4,TRUE,4/22/2024,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,56,1. 印刷,1. 要,なし,,FALSE,,FALSE,,3,TE,2423252-1 R3,8,2423252,1 R3,0,1 R3,1 R3,TE24232521 R3
18,TE-2423252-1R1,TE24232521R1,2620,,1,1,2,,1147,,9/19/2023,,1,,,,TE-2423252-1 R1,,2023,9,TRUE,10/2/2023,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,49.7,1. 印刷,1. 要,,,FALSE,,FALSE,,3,TE,2423252-1R1,8,2423252,1R1,0,1R1,1R1,TE24232521R1
19,TE-2423252-2 R4,TE24232522R4,2628,,1,1,2,,4551,,1/10/2024,,1,,,,TE-2423252-2 R4 30P,,2024,1,TRUE,1/23/2024,1.新規金型,1/12/2024,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,49,1. 印刷,1. 要,なし,,FALSE,,FALSE,,3,TE,2423252-2 R4,8,2423252,2 R4,0,2 R4,2 R4,TE24232522 R4
20,TE-2423252-2 R5,TE24232522R5,2629,,1,1,2,,2820,,4/11/2024,,1,,,,TE-2423252-2 R5,,2024,4,TRUE,4/23/2024,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,55.3,1. 印刷,1. 要,なし,,FALSE,,FALSE,,3,TE,2423252-2 R5,8,2423252,2 R5,0,2 R5,2 R5,TE24232522 R5
21,TE-2423252-2D R1,TE24232522DR1,2625,,2,1,2,,4559,,,,1,,,,TE-2423252-2 R2,,2023,7,TRUE,,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,2423252-2D R1,8,2423252,2D R1,0,2D R1,2D R1,TE24232522D R1
22,TE-2423252-2D R3,TE24232522DR3,2626,,2,1,2,,4495,,,,1,,,,TE-2423252-2 R3,,2023,8,TRUE,,2.新規,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,2423252-2D R3,8,2423252,2D R3,0,2D R3,2D R3,TE24232522D R3
23,TE-2423252-3,TE24232523,2630,,1,1,2,,2422,,6/27/2023,,1,,,,TE-2423252-3,,2023,6,TRUE,7/18/2023,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,46.9,1. 印刷,1. 要,,,FALSE,,FALSE,,3,TE,2423252-3,8,2423252,3,0,3,3,TE24232523
24,TE-2423252-3 R1,TE24232523R1,2631,,1,1,2,,1146,,9/19/2023,,1,,,,TE-2423252-3 R1,,2023,9,TRUE,10/3/2023,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,46.9,1. 印刷,1. 要,,,FALSE,,FALSE,,3,TE,2423252-3 R1,8,2423252,3 R1,0,3 R1,3 R1,TE24232523 R1
25,TE-2423252-3 R2,TE24232523R2,2632,,1,1,2,,1161,,,,1,,,,TE-2423252-3 R2,,2024,1,TRUE,1/24/2024,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,46.9,1. 印刷,1. 要,なし,,FALSE,,FALSE,,3,TE,2423252-3 R2,8,2423252,3 R2,0,3 R2,3 R2,TE24232523 R2
26,TE-2423252-3 R3,TE24232523R3,2633,,1,1,2,,2821,,4/11/2024,,1,,,,TE-2423252-3 R3,,2024,4,TRUE,4/24/2024,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,56.7,1. 印刷,1. 要,なし,,FALSE,,FALSE,,3,TE,2423252-3 R3,8,2423252,3 R3,0,3 R3,3 R3,TE24232523 R3
27,TE-2425816-1,TE24258161,2634,,,1,2,,2312,,,8/16/2022,1,,,,TE-2425816-1,,,,TRUE,8/16/2022,,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,2425816-1,8,2425816,1,0,1,1,TE24258161
28,TE-2425819-1,TE24258191,2635,,1,1,2,,2318,,,8/16/2022,1,,,,TE-2425819-1,,,,TRUE,8/16/2022,新規金型,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,2425819-1,8,2425819,1,0,1,1,TE24258191
29,TE-2426384-1,TE24263841,2636,,1,1,4,4,4493,,9/5/2022,9/13/2022,1,,,,TE-2426384-1,,,,TRUE,9/20/2022,新規金型,,,,,,,1. 社内,2. 外注,,FALSE,No,No,,,No,,,TRUE,156.8,1. 印刷,1. 要,,,FALSE,,FALSE,,3,TE,2426384-1,8,2426384,1,0,1,1,TE24263841
30,TE-2426386-1,TE24263861,2637,,1,1,2,,1145,,9/9/2022,9/15/2022,1,,,,TE-2426386-1,,,,TRUE,9/20/2022,新規金型,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,2426386-1,8,2426386,1,0,1,1,TE24263861
31,TE-2426387-1,TE24263871,2638,,1,1,2,,1144,,9/9/2022,9/15/2022,1,,,,TE-2426387-1,,,,TRUE,9/21/2022,新規金型,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,2426387-1,8,2426387,1,0,1,1,TE24263871
32,TE-2426409-1,TE24264091,2639,,1,1,2,,1137,,9/3/2022,9/13/2022,1,,,,TE-2426409-1,,,,TRUE,9/15/2022,新規金型,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,2426409-1,8,2426409,1,0,1,1,TE24264091
33,TE-2426410-1,TE24264101,2640,,1,1,2,,1136,,9/3/2022,9/13/2022,1,,,,TE-2426410-1,,,,TRUE,9/16/2022,新規金型,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,2426410-1,8,2426410,1,0,1,1,TE24264101
34,TE-2428382-1,TE24283821,2641,,1,1,2,,2956,,9/15/2022,9/26/2022,1,,,,TE-2428382-1,,,,TRUE,9/28/2022,新規金型,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,2428382-1,8,2428382,1,0,1,1,TE24283821
35,TE-2428383-1,TE24283831,2642,,1,1,2,,1152,,9/15/2022,9/26/2022,1,,,,TE-2428383-1,,,,TRUE,9/29/2022,新規金型,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,2428383-1,8,2428383,1,0,1,1,TE24283831
36,TE-2428384-1,TE24283841,2643,,1,1,2,,1153,,9/15/2022,9/26/2022,1,,,,TE-2428384-1,,,,TRUE,9/30/2022,新規金型,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,2428384-1,8,2428384,1,0,1,1,TE24283841
37,TE-243252-1,TE2432521,2644,,,1,2,,1150,,,8/8/2022,1,,,,TE-243252-1,,,,TRUE,8/17/2022,,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,243252-1,7,243252,1,0,1,1,TE2432521
38,TE-243252-1 R1,TE2432521R1,2645,,2,1,2,,4482,,,,1,,,,TE-243252-1 R1,,2023,3,TRUE,,新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,243252-1 R1,7,243252,1 R1,0,1 R1,1 R1,TE2432521 R1
39,TE-243252-2,TE2432522,2646,,,1,2,,1151,,,8/8/2022,1,,,,TE-243252-2,,,,TRUE,8/17/2022,,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,243252-2,7,243252,2,0,2,2,TE2432522
40,TE-243252-2 R1,TE2432522R1,2647,,2,1,2,,4499,,,,1,,,,TE-243252-2 R1,,2023,3,TRUE,,新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,243252-2 R1,7,243252,2 R1,0,2 R1,2 R1,TE2432522 R1
41,TE-2432957-1,TE24329571,2648,,1,1,4,4,4508,,10/21/2022,,1,,,,TE-2432957-1,,,,TRUE,11/2/2022,新規金型,,,,,,,1. 社内,2. 外注,,FALSE,2. 無,無,,,2. 無,,,TRUE,140.7,1. 印刷,1. 要,,,FALSE,,FALSE,,3,TE,2432957-1,8,2432957,1,0,1,1,TE24329571
42,TE-2434480-1,TE24344801,2649,,1,1,2,,2333,,10/31/2022,,1,,,,TE-2434480-1,,,,TRUE,11/9/2022,新規金型,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,2434480-1,8,2434480,1,0,1,1,TE24344801
43,TE-2445797-1,TE24457971,2650,,1,1,2,,1164,,12/24/2022,,1,,,,TE-2445797-1,,2022,12,TRUE,1/16/2023,新規金型,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,2445797-1,8,2445797,1,0,1,1,TE24457971
44,TE-2445924-1,TE24459241,2651,,1,1,4,4,4504,,1/12/2023,,1,,,,TE-2445924-1,,2023,1,TRUE,1/24/2023,新規金型,,,日三化成,,,,1. 社内,2. 外注,,FALSE,2. 無,無,,,2. 無,,,TRUE,124.6,1. 印刷,1. 要,,,FALSE,,FALSE,,3,TE,2445924-1,8,2445924,1,0,1,1,TE24459241
45,TE-2445925-1,TE24459251,2652,,1,1,4,4,4503,,1/13/2023,,1,,PS用金型でのPP試作済,,TE-2445925-1,,2023,1,TRUE,1/24/2023,新規金型,,,,,,,1. 社内,2. 外注,,FALSE,2. 無,無,,,2. 無,,,TRUE,140.27,1. 印刷,1. 要,,,FALSE,,FALSE,,3,TE,2445925-1,8,2445925,1,0,1,1,TE24459251
46,TE-2445926-1,TE24459261,2653,,1,1,4,4,4605,,,,1,,,,TE-2445926-1,,2023,1,TRUE,1/24/2023,新規金型,,,,,,,1. 社内,2. 外注,,FALSE,No,No,,,No,,,TRUE,140.27,1. 印刷,1. 要,,,FALSE,,FALSE,,3,TE,2445926-1,8,2445926,1,0,1,1,TE24459261
47,TE-2457435-1,TE24574351,2654,,1,1,2,,2363,,5/26/2023,,1,,,,TE-2457435-1,,2023,5,TRUE,6/1/2023,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,59.36,1. 印刷,1. 要,,,FALSE,,FALSE,,3,TE,2457435-1,8,2457435,1,0,1,1,TE24574351
48,TE-2457435-1 R1,TE24574351R1,2655,,1,1,2,,4608,,3/6/2024,,1,,,,TE-2457435-1M R1,,2024,3,TRUE,3/15/2024,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,58.8,1. 印刷,1. 要,なし,,FALSE,,FALSE,,3,TE,2457435-1 R1,8,2457435,1 R1,0,1 R1,1 R1,TE24574351 R1
49,TE-2457436-1,TE24574361,2657,,1,1,2,,2369,,5/26/2023,,1,,,,TE-2457436-1,,2023,5,TRUE,6/2/2023,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,59.36,1. 印刷,1. 要,,,FALSE,,FALSE,,3,TE,2457436-1,8,2457436,1,0,1,1,TE24574361
50,TE-2457436-1 R2,TE24574361R2,2658,,1,1,2,,2368,,9/28/2023,,1,,,,TE-2457436-1 R2,,2023,9,TRUE,10/13/2023,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,53.06,1. 印刷,1. 要,,,FALSE,,FALSE,,3,TE,2457436-1 R2,8,2457436,1 R2,0,1 R2,1 R2,TE24574361 R2
51,TE-2457436-1 R3,TE24574361R3,2659,,1,1,2,,2418,,11/15/2023,,1,,,,TE-2457436-1 R3,,2023,11,TRUE,11/24/2023,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,53.06,1. 印刷,1. 要,なし,,FALSE,,FALSE,,3,TE,2457436-1 R3,8,2457436,1 R3,0,1 R3,1 R3,TE24574361 R3
52,TE-2457436-1 R5,TE24574361R5,2660,,1,1,2,,4613,,2/20/2024,,1,,,,TE-2457436-1 R5,,2024,2,TRUE,2/29/2024,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,58.8,1. 印刷,1. 要,なし,,FALSE,,FALSE,,3,TE,2457436-1 R5,8,2457436,1 R5,0,1 R5,1 R5,TE24574361 R5
53,TE-2457436-1 R5NEW,TE24574361R5NEW,2661,,1,1,2,,2417,,,,1,,,,TE-2457436-1 R5NEW,,2024,3,TRUE,3/12/2024,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,2457436-1 R5NEW,8,2457436,1 R5NEW,0,1 R5NEW,1 R5NEW,TE24574361 R5NEW
54,TE-2486848-1,TE24868481,2662,,1,1,2,,2860,,5/14/2024,,1,,,,TE-2486848-1,,2024,5,TRUE,5/30/2024,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,154,1. 印刷,1. 要,なし,,FALSE,,FALSE,,3,TE,2486848-1,8,2486848,1,0,1,1,TE24868481
55,TE-2486848-2,TE24868482,2663,,1,1,2,,2861,,5/14/2024,,1,,,,TE-2486848-2,,2024,5,TRUE,5/31/2024,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,154,1. 印刷,1. 要,なし,,FALSE,,FALSE,,3,TE,2486848-2,8,2486848,2,0,2,2,TE24868482
56,26.4x82.5x480,26.4x82.5x480,2,,5,1,2,,4604,,12/22/2022,,,,,,26.5ｘ82.5ｘ480,,,,TRUE,12/22/2022,新規,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,0,26.4x82.5x480,26.4x82.5x480,0,26.4x82.5x480,26.4x82.5x480,0,26.4x82.5x480,26.4x82.5x480,26.4x82.5x480
57,TE-3-127-2,TE31272,2694,,,5,2,,2300,,,,,,,,TE-3-127-2,,2024,0,TRUE,,,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,3-127-2,2,3,127-2,4,127,2,TE31272
58,TE-3-161-4,TE31614,2718,,18,7000,2,,1815,,5/8/2024,,1,,,,TE-3-161-4,,2024,0,TRUE,5/8/2024,4.修理,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,3-161-4,2,3,161-4,4,161,4,TE31614
59,36x260x380,36x260x380,3,,7,8,2,,4616,,8/9/2023,,1,,,,36x260x380,,2023,,TRUE,8/9/2023,3.再製作,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,0,36x260x380,36x260x380,0,36x260x380,36x260x380,0,36x260x380,36x260x380,36x260x380
60,TE-3-160-9,TE31609,2715,,,1,2,,4140,,,,,,,,TE-3-160-9,,,,TRUE,11/17/2022,,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,3-160-9,2,3,160-9,4,160,9,TE31609
61,3x246x335,3x246x335,4,,5,1,2,,4567,,2/7/2023,,1,,,,3x246x335,,2023,2,TRUE,2/7/2023,新規,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,0,3x246x335,3x246x335,0,3x246x335,3x246x335,0,3x246x335,3x246x335,3x246x335
62,3x246x355 2023.9,3x246x3552023.9,4,,5,1,2,,4567,,9/25/2023,,2,,,,3x246x335,,2023,9,TRUE,9/27/2023,3.再製作,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,0,3x246x355 2023.9,3x246x355 2023.9,0,3x246x355 2023.9,3x246x355 2023.9,0,3x246x355 2023.9,3x246x355 2023.9,3x246x355 2023.9
63,TE-4-110-6,TE41106,2739,,1,6,2,,4565,,,,,,,,TE-4-110-6,,,,TRUE,9/30/2022,追加工,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,4-110-6,2,4,110-6,4,110,6,TE41106
64,TE-5-052-2,TE50522,2779,,6,1,2,,4591,,9/15/2022,9/15/2022,1,,,,TE-5-052-2,,,,TRUE,9/15/2022,,,,,,,,,,,FALSE,No,No,,,No,,,FALSE,,,,,,FALSE,,FALSE,,3,TE,5-052-2,2,5,052-2,4,052,2,TE50522
65,5x600x745 DIM-018,5x600x745DIM018,5,,5,1,1,1,4602,,9/19/2023,,1,,,,5x600x745 DIM-018,,2023,9,TRUE,9/20/2023,1.新規金型,,,,,,,1. 社内,2. 外注,9/20/2023,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,14,5x600x745 DIM,018,0,018,018,0,018,018,5x600x745 DIM018
66,TE-6-065-3,TE60653,2817,,6,8,2,,4601,,8/3/2024,,1,,,,TE-6-065-3,,2024,0,TRUE,8/3/2024,4.修理,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,6-065-3,2,6,065-3,4,065,3,TE60653
67,TE-6-159-6 R1,TE61596R1,2843,,1,1,2,4,4239,,7/12/2024,,1,,,,TE-6-159-6 R1,,2024,7,TRUE,7/26/2024,1.新規金型,,,,,,7.7,1. 社内,1. 社内,7/22/2024,FALSE,2. 無,2. 無,±1,±1,2. 無,2,メール通り,TRUE,90.3,1. 印刷,1. 要,なし,,FALSE,,FALSE,,3,TE,6-159-6 R1,2,6,159-6 R1,4,159,6 R1,TE61596 R1
68,TE-6-159-7 R2,TE61597R2,2844,,1,1,4,4,3070,,7/24/2024,,1,,,,TE-6-159-7 R2,,2024,7,TRUE,8/5/2024,1.新規金型,,,,,,,1. 社内,2. 外注,7/31/2024,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,TRUE,103.6,1. 印刷,1. 要,済,,FALSE,,FALSE,,3,TE,6-159-7 R2,2,6,159-7 R2,4,159,7 R2,TE61597 R2
69,TE-6-159-7D,TE61597D,2845,,2,1,2,,4600,,7/4/2024,,1,,,,TE-6-159-7D,,2024,7,TRUE,7/12/2024,1.新規金型,,,,,,,1. 社内,1. 社内,,FALSE,2. 無,2. 無,±1,±1,2. 無,0,メール通り,FALSE,,,,,,FALSE,,FALSE,,3,TE,6-159-7D,2,6,159-7D,4,159,7D,TE61597D
